po_number,date,supplier,material_id,qty_ordered,qty_received,unit_price,total_eur,expected_delivery,actual_delivery,delay_days,quality_score
PO-00934,2025-09-01,Far Eastern Textile,MAT_0217,1690,1690,4.25,7188.42,2025-10-16,2025-10-16,0,4
PO-00185,2025-09-01,Henkel AG,MAT_0470,158,158,16.08,2541.35,2025-09-10,2025-09-10,0,4
PO-00591,2025-09-01,Coats Group,MAT_0038,632,632,5.16,3263.98,2025-09-22,2025-09-22,0,5
PO-01468,2025-09-01,Toray Industries,MAT_0325,520,520,19.92,10358.61,2025-10-16,2025-10-21,5,4
PO-01350,2025-09-01,Henkel AG,MAT_0473,667,667,23.12,15421.73,2025-09-11,2025-09-15,4,4
PO-00715,2025-09-01,Coats Group,MAT_0269,190,166,5.93,983.77,2025-09-16,2025-09-16,0,3
PO-01190,2025-09-01,NXP Semiconductors,MAT_0399,5563,5563,0.49,2749.1,2025-09-11,2025-09-11,0,5
PO-01964,2025-09-02,Foam Italia,MAT_0232,1571,1571,4.02,6310.89,2025-09-11,2025-09-12,1,5
PO-01865,2025-09-02,NXP Semiconductors,MAT_0491,6830,6830,0.45,3076.14,2025-09-17,2025-09-17,0,5
PO-00981,2025-09-02,Global Trim,MAT_0380,3356,3356,0.13,441.96,2025-10-10,2025-10-10,0,3
PO-00338,2025-09-02,Gomma Padana,MAT_0131,569,569,13.41,7631.81,2025-09-11,2025-09-14,3,5
PO-00854,2025-09-02,American & Efird,MAT_0229,560,560,7.12,3985.1,2025-10-03,2025-10-03,0,5
PO-00989,2025-09-02,American & Efird,MAT_0207,457,457,6.51,2976.08,2025-10-10,2025-10-10,0,5
PO-00455,2025-09-02,Zhejiang Paper,MAT_0294,7952,7952,0.08,651.89,2025-10-02,2025-10-02,0,4
PO-00387,2025-09-02,Global Trim,MAT_0422,2146,2146,0.11,239.11,2025-10-14,2025-10-14,0,4
PO-01179,2025-09-02,American & Efird,MAT_0333,471,290,7.06,2047.56,2025-10-02,2025-10-02,0,4
PO-01606,2025-09-02,Shenzhen Minghui,MAT_0385,31832,31832,0.03,954.87,2025-10-09,2025-10-09,0,4
PO-01904,2025-09-03,NXP Semiconductors,MAT_0418,6407,6407,0.44,2851.04,2025-09-17,2025-09-17,0,3
PO-01047,2025-09-03,Crocs Inc (supplied),MAT_0208,501,501,9.91,4965.06,2025-10-07,2025-10-07,0,5
PO-00616,2025-09-03,NXP Semiconductors,MAT_0255,3531,3531,0.42,1490.57,2025-09-12,2025-09-12,0,4
PO-01111,2025-09-03,NXP Semiconductors,MAT_0270,1033,1033,0.4,414.57,2025-09-12,2025-09-13,1,5
PO-00397,2025-09-03,Zecchetto Accessori,MAT_0015,5246,5246,0.8,4185.75,2025-09-16,2025-09-22,6,4
PO-01681,2025-09-03,Texon International,MAT_0023,767,767,3.32,2545.21,2025-09-21,2025-09-21,0,3
PO-00273,2025-09-04,Zhejiang Paper,MAT_0172,2846,2846,0.09,260.05,2025-10-05,2025-10-05,0,4
PO-01074,2025-09-04,Zecchetto Accessori,MAT_0405,4586,4586,0.87,3994.92,2025-09-17,2025-09-18,1,4
PO-00243,2025-09-05,Foam Italia,MAT_0447,460,460,4.91,2259.67,2025-09-22,2025-09-26,4,5
PO-01820,2025-09-05,Toray Composite,MAT_0059,147,147,47.47,6978.5,2025-10-26,2025-10-26,0,2
PO-00707,2025-09-05,Toray Industries,MAT_0186,461,461,18.67,8605.77,2025-10-25,2025-10-30,5,4
PO-01200,2025-09-05,Toray Industries,MAT_0472,1575,1575,20.19,31803.8,2025-10-30,2025-10-31,1,4
PO-00936,2025-09-05,Toray Industries,MAT_0368,1253,1253,19.21,24065.16,2025-10-20,2025-10-26,6,5
PO-01727,2025-09-06,Gomma Padana,MAT_0306,636,636,11.67,7420.4,2025-09-21,2025-10-04,13,2
PO-01447,2025-09-06,Toray Composite,MAT_0295,124,124,40.09,4971.15,2025-10-22,2025-10-23,1,3
PO-01069,2025-09-06,Covestro AG,MAT_0381,553,553,8.79,4860.95,2025-09-18,2025-09-19,1,4
PO-01758,2025-09-06,Covestro AG,MAT_0419,544,544,7.8,4245.24,2025-09-13,2025-09-13,0,4
PO-01827,2025-09-06,Henkel AG,MAT_0051,1304,1304,17.15,22361.16,2025-09-19,2025-09-19,0,5
PO-01880,2025-09-06,Zecchetto Accessori,MAT_0425,1474,1474,0.92,1359.31,2025-09-16,2025-09-16,0,3
PO-00373,2025-09-06,Toray Composite,MAT_0390,139,139,45.39,6309.76,2025-10-30,2025-11-09,10,4
PO-00554,2025-09-06,Zhejiang Paper,MAT_0201,7559,7559,0.1,777.88,2025-10-12,2025-10-12,0,4
PO-00959,2025-09-06,Toray Industries,MAT_0488,793,702,17.19,12065.58,2025-10-26,2025-10-30,4,4
PO-01646,2025-09-07,Crocs Inc (supplied),MAT_0208,668,668,10.07,6725.99,2025-10-11,2025-10-11,0,5
PO-00379,2025-09-07,Covestro AG,MAT_0087,1249,1249,9.74,12160.67,2025-09-18,2025-09-29,11,3
PO-01544,2025-09-07,Global Trim,MAT_0046,2270,2270,0.1,233.37,2025-10-11,2025-10-12,1,4
PO-00274,2025-09-07,Coats Group,MAT_0462,620,387,6.47,2503.7,2025-09-21,2025-10-03,12,5
PO-01579,2025-09-07,American & Efird,MAT_0333,437,437,7.03,3074.26,2025-10-07,2025-10-07,0,5
PO-01810,2025-09-07,Henkel AG,MAT_0043,602,602,17.54,10559.4,2025-09-14,2025-09-14,0,2
PO-00839,2025-09-07,Gomma Padana,MAT_0194,760,760,12.52,9513.2,2025-09-20,2025-09-20,0,4
PO-00683,2025-09-07,Zhejiang Paper,MAT_0370,8587,8587,0.07,598.08,2025-10-07,2025-10-07,0,2
PO-00825,2025-09-08,Crocs Inc (supplied),MAT_0233,1541,1541,9.16,14119.5,2025-10-18,2025-10-22,4,4
PO-00951,2025-09-08,Coats Group,MAT_0269,376,256,5.82,1490.13,2025-09-23,2025-10-13,20,4
PO-01785,2025-09-09,Henkel AG,MAT_0473,317,317,23.25,7370.48,2025-09-19,2025-09-19,0,4
PO-01856,2025-09-09,Gomma Padana,MAT_0262,784,784,13.99,10968.82,2025-09-26,2025-09-26,0,3
PO-01257,2025-09-09,Zhejiang Paper,MAT_0305,6670,6670,0.09,610.43,2025-10-14,2025-10-17,3,5
PO-01057,2025-09-10,Coats Group,MAT_0462,1111,1111,6.57,7302.04,2025-09-24,2025-09-24,0,4
PO-01358,2025-09-10,Zhejiang Paper,MAT_0172,1833,1833,0.09,164.09,2025-10-11,2025-10-11,0,5
PO-01761,2025-09-10,Toray Industries,MAT_0476,1210,1210,21.51,26026.58,2025-10-25,2025-10-25,0,4
PO-00474,2025-09-10,Toray Composite,MAT_0103,73,73,39.24,2864.69,2025-10-30,2025-10-30,0,3
PO-00226,2025-09-10,Zecchetto Accessori,MAT_0429,5549,5549,0.74,4129.82,2025-09-21,2025-09-21,0,4
PO-00757,2025-09-10,Coats Group,MAT_0269,754,754,5.96,4497.21,2025-09-25,2025-09-25,0,5
PO-00034,2025-09-10,American & Efird,MAT_0396,658,658,7.53,4955.73,2025-10-07,2025-10-07,0,5
PO-00318,2025-09-11,Henkel AG,MAT_0136,115,115,19.5,2242.2,2025-09-20,2025-09-20,0,5
PO-00978,2025-09-11,Henkel AG,MAT_0013,835,835,15.43,12887.22,2025-09-20,2025-09-20,0,5
PO-00222,2025-09-11,Toray Composite,MAT_0059,588,588,45.77,26911.01,2025-11-01,2025-11-01,0,5
PO-01734,2025-09-11,Toray Composite,MAT_0295,417,417,40.15,16740.64,2025-10-27,2025-10-27,0,4
PO-00716,2025-09-11,Zecchetto Accessori,MAT_0184,2398,2398,0.98,2351.75,2025-09-21,2025-09-24,3,4
PO-00480,2025-09-12,Shenzhen Minghui,MAT_0257,15814,15814,0.04,631.76,2025-10-19,2025-10-19,0,4
PO-01738,2025-09-12,Foam Italia,MAT_0150,749,749,4.71,3530.07,2025-09-20,2025-09-20,0,4
PO-01925,2025-09-12,Texon International,MAT_0084,2337,2337,3.19,7452.62,2025-10-02,2025-10-02,0,5
PO-01918,2025-09-12,Foam Italia,MAT_0054,3021,3021,4.66,14091.02,2025-09-24,2025-09-24,0,5
PO-01361,2025-09-12,Foam Italia,MAT_0149,922,922,5.56,5127.67,2025-09-28,2025-09-28,0,5
PO-00856,2025-09-13,Shenzhen Minghui,MAT_0439,18110,18110,0.04,738.95,2025-10-19,2025-10-19,0,3
PO-00317,2025-09-13,Crocs Inc (supplied),MAT_0048,335,335,9.34,3130.36,2025-10-14,2025-10-14,0,2
PO-00041,2025-09-13,NXP Semiconductors,MAT_0382,2827,2827,0.39,1101.85,2025-09-29,2025-09-29,0,3
PO-00797,2025-09-13,Coats Group,MAT_0075,488,488,6.47,3158.81,2025-10-02,2025-10-02,0,3
PO-00837,2025-09-14,Global Trim,MAT_0314,14151,14151,0.12,1740.64,2025-10-26,2025-10-26,0,4
PO-00595,2025-09-14,Toray Industries,MAT_0267,2369,2369,20.1,47608.65,2025-10-29,2025-10-30,1,4
PO-00968,2025-09-14,Toray Industries,MAT_0175,1391,1391,19.85,27613.31,2025-11-06,2025-11-06,0,5
PO-01670,2025-09-14,Toray Composite,MAT_0372,124,124,40.87,5067.57,2025-10-21,2025-10-21,0,4
PO-00514,2025-09-14,American & Efird,MAT_0388,377,377,6.84,2578.55,2025-10-09,2025-10-09,0,3
PO-01725,2025-09-14,Karteks Banja Luka,MAT_0367,2824,1729,0.56,976.62,2025-09-17,2025-09-17,0,5
PO-00534,2025-09-14,Henkel AG,MAT_0250,65,65,24.05,1562.99,2025-09-23,2025-09-23,0,1
PO-00278,2025-09-14,Karteks Banja Luka,MAT_0297,10025,10025,0.75,7535.91,2025-09-19,2025-09-19,0,3
PO-00497,2025-09-14,Zhejiang Paper,MAT_0347,8480,8480,0.07,603.82,2025-10-14,2025-10-17,3,4
PO-00104,2025-09-14,Shenzhen Minghui,MAT_0052,27472,27472,0.03,827.02,2025-10-14,2025-10-14,0,5
PO-00773,2025-09-14,Foam Italia,MAT_0005,1087,1087,5.26,5715.3,2025-09-22,2025-09-24,2,4
PO-01671,2025-09-14,Toray Industries,MAT_0238,423,423,17.27,7305.12,2025-11-05,2025-11-05,0,5
PO-00498,2025-09-14,Crocs Inc (supplied),MAT_0211,1304,1304,8.25,10753.58,2025-10-18,2025-10-24,6,3
PO-00668,2025-09-15,Toray Composite,MAT_0372,243,243,40.2,9768.65,2025-10-22,2025-10-30,8,4
PO-00984,2025-09-16,Covestro AG,MAT_0311,248,248,8.56,2123.44,2025-09-28,2025-09-28,0,5
PO-00086,2025-09-16,Toray Industries,MAT_0192,464,464,17.98,8340.76,2025-10-23,2025-10-30,7,5
PO-00809,2025-09-16,Karteks Banja Luka,MAT_0412,3597,2163,0.65,1412.24,2025-09-19,2025-09-19,0,3
PO-00621,2025-09-17,Coats Group,MAT_0058,667,667,5.16,3444.15,2025-09-29,2025-09-29,0,5
PO-00118,2025-09-17,American & Efird,MAT_0155,792,792,6.69,5301.41,2025-10-23,2025-10-28,5,5
PO-00142,2025-09-17,American & Efird,MAT_0366,641,641,7.46,4784.04,2025-10-26,2025-10-26,0,5
PO-00495,2025-09-18,Gomma Padana,MAT_0231,647,647,12.01,7769.1,2025-09-28,2025-09-28,0,5
PO-01096,2025-09-18,Zecchetto Accessori,MAT_0498,2584,2584,0.82,2113.8,2025-10-03,2025-10-03,0,5
PO-00682,2025-09-18,Global Trim,MAT_0350,10537,10537,0.13,1360.75,2025-10-29,2025-10-29,0,4
PO-01750,2025-09-18,Zecchetto Accessori,MAT_0320,349,349,0.79,275.27,2025-09-26,2025-09-26,0,5
PO-01517,2025-09-19,Shenzhen Minghui,MAT_0257,13511,13511,0.04,539.18,2025-10-26,2025-10-28,2,3
PO-01086,2025-09-19,Toray Composite,MAT_0390,235,235,46.04,10819.51,2025-11-12,2025-11-12,0,5
PO-00630,2025-09-19,Henkel AG,MAT_0226,917,917,18.49,16952.25,2025-10-04,2025-10-04,0,5
PO-00263,2025-09-19,NXP Semiconductors,MAT_0344,1966,1966,0.49,956.29,2025-09-29,2025-10-01,2,5
PO-01226,2025-09-20,Gomma Padana,MAT_0064,828,828,12.92,10695.9,2025-10-07,2025-10-07,0,5
PO-00192,2025-09-20,Zhejiang Paper,MAT_0347,7769,7769,0.07,528.88,2025-10-20,2025-10-20,0,4
PO-00512,2025-09-20,Far Eastern Textile,MAT_0199,1308,1308,3.12,4077.71,2025-11-02,2025-11-02,0,5
PO-01942,2025-09-20,Coats Group,MAT_0125,1378,1378,5.61,7732.71,2025-10-04,2025-10-17,13,5
PO-00060,2025-09-20,Gomma Padana,MAT_0037,257,257,13.72,3526.1,2025-09-28,2025-10-06,8,3
PO-01794,2025-09-20,Global Trim,MAT_0016,8818,8818,0.12,1068.88,2025-10-27,2025-10-27,0,4
PO-01960,2025-09-20,Shenzhen Minghui,MAT_0385,11980,11980,0.03,355.49,2025-10-27,2025-10-27,0,5
PO-01041,2025-09-20,Global Trim,MAT_0314,13343,13343,0.12,1577.9,2025-11-01,2025-11-01,0,5
PO-01818,2025-09-20,Zhejiang Paper,MAT_0430,6322,6322,0.09,554.36,2025-10-26,2025-10-30,4,4
PO-01072,2025-09-20,Gomma Padana,MAT_0131,1765,1765,13.59,23983.98,2025-09-29,2025-09-29,0,5
PO-00195,2025-09-21,Coats Group,MAT_0022,1524,1524,6.05,9218.94,2025-10-05,2025-10-05,0,5
PO-00970,2025-09-21,Foam Italia,MAT_0149,898,898,5.64,5066.8,2025-10-07,2025-10-07,0,5
PO-01051,2025-09-21,Covestro AG,MAT_0323,668,668,10.74,7172.54,2025-10-03,2025-10-13,10,4
PO-01091,2025-09-21,NXP Semiconductors,MAT_0478,1117,1117,0.42,464.05,2025-10-04,2025-10-04,0,4
PO-01479,2025-09-21,Toray Industries,MAT_0174,864,864,19.28,16656.29,2025-11-01,2025-11-01,0,4
PO-01621,2025-09-21,Toray Industries,MAT_0003,1761,1761,19.31,34001.98,2025-11-05,2025-11-05,0,4
PO-01660,2025-09-21,Global Trim,MAT_0467,12016,12016,0.11,1329.65,2025-10-25,2025-10-25,0,5
PO-00900,2025-09-22,Karteks Banja Luka,MAT_0018,7978,7978,0.58,4636.46,2025-09-26,2025-09-26,0,5
PO-01721,2025-09-22,Toray Industries,MAT_0289,644,644,21.81,14045.43,2025-11-12,2025-11-12,0,1
PO-00893,2025-09-22,Foam Italia,MAT_0149,739,739,5.5,4065.07,2025-10-08,2025-10-08,0,4
PO-01158,2025-09-22,Gomma Padana,MAT_0460,1052,1052,13.28,13972.28,2025-10-10,2025-10-10,0,4
PO-00189,2025-09-22,Crocs Inc (supplied),MAT_0063,334,334,9.32,3112.37,2025-10-28,2025-10-28,0,4
PO-01161,2025-09-23,Gomma Padana,MAT_0460,827,827,12.92,10684.78,2025-10-11,2025-10-11,0,4
PO-01853,2025-09-23,Coats Group,MAT_0058,1290,1290,5.19,6690.36,2025-10-05,2025-10-08,3,4
PO-01267,2025-09-23,Shenzhen Minghui,MAT_0070,19206,19206,0.03,581.23,2025-11-03,2025-11-03,0,3
PO-01080,2025-09-23,NXP Semiconductors,MAT_0247,2728,2728,0.52,1426.4,2025-10-09,2025-10-09,0,4
PO-01771,2025-09-23,Covestro AG,MAT_0448,266,266,9.13,2429.3,2025-10-04,2025-10-08,4,4
PO-01979,2025-09-23,Coats Group,MAT_0075,353,353,6.1,2153.92,2025-10-12,2025-10-12,0,4
PO-00812,2025-09-24,Foam Italia,MAT_0298,2118,2118,3.87,8202.94,2025-10-08,2025-10-09,1,5
PO-00464,2025-09-24,Toray Industries,MAT_0490,1266,1266,18.32,23189.07,2025-10-30,2025-10-30,0,2
PO-01291,2025-09-24,Foam Italia,MAT_0298,1715,1715,3.85,6603.32,2025-10-08,2025-10-08,0,5
PO-00848,2025-09-24,Coats Group,MAT_0045,982,982,5.52,5416.16,2025-10-06,2025-10-06,0,5
PO-00300,2025-09-24,Zecchetto Accessori,MAT_0339,1938,1938,0.85,1649.89,2025-10-03,2025-10-03,0,5
PO-00540,2025-09-24,Foam Italia,MAT_0232,1428,1428,4.09,5841.82,2025-10-03,2025-10-08,5,5
PO-00728,2025-09-24,Henkel AG,MAT_0051,1042,1042,17.06,17774.39,2025-10-07,2025-10-07,0,4
PO-01411,2025-09-24,Texon International,MAT_0293,1567,1567,2.89,4529.64,2025-10-15,2025-10-16,1,4
PO-01602,2025-09-24,Texon International,MAT_0354,563,563,3.5,1972.02,2025-10-10,2025-10-10,0,4
PO-01777,2025-09-24,Zhejiang Paper,MAT_0172,3318,3318,0.09,305.58,2025-10-25,2025-10-28,3,5
PO-01970,2025-09-24,Crocs Inc (supplied),MAT_0147,1469,1344,9.41,12650.0,2025-10-23,2025-10-26,3,4
PO-00094,2025-09-24,Covestro AG,MAT_0441,1011,1011,8.23,8317.87,2025-10-06,2025-10-06,0,3
PO-01742,2025-09-25,Foam Italia,MAT_0499,1261,1261,4.74,5976.51,2025-10-09,2025-10-10,1,4
PO-00319,2025-09-25,Crocs Inc (supplied),MAT_0318,526,526,7.42,3901.53,2025-10-29,2025-10-29,0,5
PO-01808,2025-09-25,American & Efird,MAT_0093,494,494,5.86,2896.61,2025-10-27,2025-11-12,16,4
PO-00468,2025-09-25,Gomma Padana,MAT_0010,1675,1675,12.5,20939.39,2025-10-07,2025-10-09,2,4
PO-01218,2025-09-25,Zecchetto Accessori,MAT_0197,1530,1530,1.04,1593.55,2025-10-13,2025-10-13,0,4
PO-00555,2025-09-25,Zhejiang Paper,MAT_0294,25550,25550,0.08,1990.67,2025-10-25,2025-10-25,0,4
PO-01619,2025-09-26,Toray Industries,MAT_0493,2066,2066,17.33,35801.97,2025-11-15,2025-11-15,0,3
PO-00509,2025-09-26,Foam Italia,MAT_0105,607,607,3.75,2275.22,2025-10-06,2025-10-09,3,4
PO-01271,2025-09-26,Henkel AG,MAT_0043,371,371,17.97,6668.58,2025-10-03,2025-10-07,4,1
PO-00828,2025-09-26,Karteks Banja Luka,MAT_0074,1143,1143,0.56,634.81,2025-09-30,2025-10-01,1,4
PO-00889,2025-09-26,Toray Composite,MAT_0059,110,110,46.32,5095.38,2025-11-16,2025-11-16,0,5
PO-00461,2025-09-26,Gomma Padana,MAT_0265,310,310,14.02,4346.75,2025-10-05,2025-10-05,0,3
PO-01920,2025-09-26,Toray Industries,MAT_0325,983,983,19.73,19390.49,2025-11-10,2025-11-10,0,5
PO-00669,2025-09-26,Toray Composite,MAT_0216,155,155,38.49,5966.15,2025-11-14,2025-11-14,0,4
PO-01203,2025-09-27,American & Efird,MAT_0442,1600,1027,7.23,7421.64,2025-10-25,2025-11-02,8,4
PO-00995,2025-09-27,Zhejiang Paper,MAT_0305,7437,7437,0.09,651.81,2025-11-01,2025-11-01,0,5
PO-01398,2025-09-27,Toray Industries,MAT_0364,330,330,20.32,6704.85,2025-11-13,2025-11-19,6,5
PO-01049,2025-09-27,Henkel AG,MAT_0432,200,200,13.32,2663.13,2025-10-05,2025-10-05,0,5
PO-00269,2025-09-28,Henkel AG,MAT_0330,229,229,15.15,3469.29,2025-10-11,2025-10-12,1,4
PO-00392,2025-09-28,Toray Composite,MAT_0389,42,42,38.97,1636.93,2025-11-09,2025-11-09,0,4
PO-00170,2025-09-28,Toray Industries,MAT_0177,971,690,17.63,12161.68,2025-11-22,2025-11-22,0,4
PO-00444,2025-09-28,Foam Italia,MAT_0150,2749,2749,4.65,12776.31,2025-10-06,2025-10-06,0,4
PO-00631,2025-09-28,Toray Composite,MAT_0103,134,134,38.13,5110.06,2025-11-17,2025-11-17,0,4
PO-00663,2025-09-29,NXP Semiconductors,MAT_0418,7736,7736,0.44,3383.47,2025-10-13,2025-10-19,6,5
PO-00095,2025-09-29,Crocs Inc (supplied),MAT_0233,838,838,8.91,7463.79,2025-11-08,2025-11-17,9,5
PO-00475,2025-09-29,Henkel AG,MAT_0470,138,96,16.0,1535.81,2025-10-08,2025-10-08,0,4
PO-00433,2025-09-29,Karteks Banja Luka,MAT_0034,3855,3855,0.8,3101.04,2025-10-02,2025-10-02,0,4
PO-00196,2025-09-29,American & Efird,MAT_0229,1201,1201,6.96,8357.88,2025-10-30,2025-10-30,0,3
PO-01570,2025-09-29,Karteks Banja Luka,MAT_0451,8528,8528,0.86,7292.49,2025-10-02,2025-10-02,0,5
PO-00615,2025-09-30,Toray Industries,MAT_0101,2207,2207,20.57,45392.59,2025-11-04,2025-11-04,0,1
PO-00019,2025-09-30,NXP Semiconductors,MAT_0436,1280,1280,0.48,618.3,2025-10-14,2025-10-14,0,4
PO-00393,2025-09-30,Covestro AG,MAT_0215,566,566,9.14,5174.64,2025-10-07,2025-10-07,0,5
PO-00440,2025-09-30,American & Efird,MAT_0333,327,261,7.03,1836.01,2025-10-30,2025-11-10,11,1
PO-00230,2025-09-30,Covestro AG,MAT_0215,1057,1057,8.8,9301.02,2025-10-07,2025-10-15,8,5
PO-01294,2025-10-01,Far Eastern Textile,MAT_0482,1307,1307,4.31,5627.53,2025-11-08,2025-11-08,0,2
PO-01921,2025-10-01,Karteks Banja Luka,MAT_0034,3732,3732,0.83,3097.57,2025-10-04,2025-10-11,7,4
PO-01899,2025-10-01,Toray Industries,MAT_0393,1351,1351,21.36,28854.35,2025-11-21,2025-11-21,0,4
PO-00576,2025-10-01,American & Efird,MAT_0229,1381,1381,6.99,9649.51,2025-11-01,2025-11-01,0,4
PO-00998,2025-10-01,Coats Group,MAT_0269,469,469,6.04,2833.95,2025-10-16,2025-10-16,0,4
PO-00083,2025-10-01,Karteks Banja Luka,MAT_0445,3903,3903,0.68,2654.43,2025-10-04,2025-10-08,4,4
PO-01717,2025-10-01,Crocs Inc (supplied),MAT_0025,965,965,8.05,7764.67,2025-11-04,2025-11-04,0,4
PO-00330,2025-10-01,Toray Industries,MAT_0173,237,157,19.05,2990.66,2025-11-08,2025-11-08,0,4
PO-00133,2025-10-01,Gomma Padana,MAT_0181,549,549,14.78,8113.17,2025-10-15,2025-10-15,0,4
PO-01163,2025-10-01,Zecchetto Accessori,MAT_0234,317,317,0.76,242.29,2025-10-19,2025-10-19,0,4
PO-01420,2025-10-01,Toray Composite,MAT_0162,309,309,48.8,15080.23,2025-11-13,2025-11-13,0,4
PO-00249,2025-10-02,Karteks Banja Luka,MAT_0067,3474,3474,0.71,2476.7,2025-10-05,2025-10-07,2,5
PO-01353,2025-10-02,Toray Industries,MAT_0154,591,516,20.39,10522.71,2025-11-11,2025-11-11,0,2
PO-00214,2025-10-03,Zhejiang Paper,MAT_0430,6851,6851,0.09,619.45,2025-11-08,2025-11-08,0,5
PO-00620,2025-10-03,Toray Industries,MAT_0236,989,989,22.04,21798.56,2025-11-19,2025-11-19,0,5
PO-00467,2025-10-04,Shenzhen Minghui,MAT_0257,19677,19677,0.04,801.79,2025-11-10,2025-11-10,0,2
PO-01812,2025-10-04,Crocs Inc (supplied),MAT_0063,762,762,9.18,6993.07,2025-11-09,2025-11-12,3,4
PO-01946,2025-10-05,Zhejiang Paper,MAT_0494,5170,5170,0.08,425.69,2025-11-09,2025-11-09,0,4
PO-01154,2025-10-05,Foam Italia,MAT_0232,1660,1660,3.87,6430.14,2025-10-14,2025-10-14,0,3
PO-00636,2025-10-05,Texon International,MAT_0069,1548,1548,3.86,5972.92,2025-10-26,2025-10-26,0,5
PO-01665,2025-10-05,Gomma Padana,MAT_0379,1277,1132,14.36,16250.83,2025-10-23,2025-10-23,0,3
PO-01114,2025-10-05,Shenzhen Minghui,MAT_0406,27162,27162,0.03,816.81,2025-11-12,2025-11-13,1,4
PO-00177,2025-10-05,NXP Semiconductors,MAT_0394,6772,6772,0.42,2839.68,2025-10-20,2025-10-20,0,4
PO-01174,2025-10-06,American & Efird,MAT_0021,939,939,6.68,6273.53,2025-11-15,2025-11-15,0,4
PO-00405,2025-10-06,Karteks Banja Luka,MAT_0445,3733,3733,0.69,2575.05,2025-10-09,2025-10-09,0,1
PO-00533,2025-10-06,Henkel AG,MAT_0035,332,332,22.76,7556.88,2025-10-18,2025-10-18,0,3
PO-01516,2025-10-06,Texon International,MAT_0212,904,904,3.38,3057.02,2025-10-23,2025-10-23,0,4
PO-00830,2025-10-06,Covestro AG,MAT_0328,906,906,11.39,10322.68,2025-10-13,2025-10-13,0,5
PO-00364,2025-10-06,Coats Group,MAT_0125,433,433,5.6,2426.89,2025-10-20,2025-10-20,0,4
PO-01999,2025-10-07,Karteks Banja Luka,MAT_0220,1957,1957,0.67,1319.58,2025-10-10,2025-10-10,0,5
PO-00501,2025-10-07,Far Eastern Textile,MAT_0377,621,621,2.73,1693.51,2025-11-12,2025-11-12,0,5
PO-01609,2025-10-07,Covestro AG,MAT_0351,555,445,9.89,4400.31,2025-10-20,2025-10-20,0,5
PO-00071,2025-10-07,Karteks Banja Luka,MAT_0433,1037,1037,0.73,760.51,2025-10-11,2025-10-12,1,4
PO-00253,2025-10-07,Coats Group,MAT_0045,271,271,5.58,1511.25,2025-10-19,2025-10-19,0,4
PO-00687,2025-10-07,American & Efird,MAT_0420,395,395,6.74,2663.42,2025-11-13,2025-11-13,0,1
PO-01376,2025-10-08,Henkel AG,MAT_0226,694,694,18.59,12898.46,2025-10-23,2025-10-23,0,4
PO-01578,2025-10-08,Zecchetto Accessori,MAT_0498,891,891,0.81,726.15,2025-10-23,2025-10-23,0,4
PO-01685,2025-10-08,Zecchetto Accessori,MAT_0142,469,469,0.76,357.12,2025-10-23,2025-10-23,0,4
PO-01490,2025-10-08,Shenzhen Minghui,MAT_0070,12794,12794,0.03,385.6,2025-11-18,2025-11-18,0,5
PO-01038,2025-10-08,Shenzhen Minghui,MAT_0329,24163,24163,0.03,729.06,2025-11-20,2025-11-20,0,4
PO-00787,2025-10-08,Zecchetto Accessori,MAT_0437,1932,1932,1.07,2060.59,2025-10-15,2025-10-15,0,4
PO-01441,2025-10-08,Covestro AG,MAT_0464,585,585,7.88,4608.82,2025-10-15,2025-10-19,4,5
PO-01872,2025-10-08,Henkel AG,MAT_0043,537,537,18.19,9765.5,2025-10-15,2025-10-15,0,4
PO-00150,2025-10-08,Toray Industries,MAT_0365,2463,1487,16.47,24489.14,2025-11-23,2025-11-23,0,3
PO-01998,2025-10-09,Covestro AG,MAT_0328,919,919,11.17,10264.48,2025-10-16,2025-10-16,0,4
PO-00176,2025-10-09,Far Eastern Textile,MAT_0146,1528,1528,3.4,5197.24,2025-11-17,2025-11-22,5,4
PO-01204,2025-10-09,Shenzhen Minghui,MAT_0187,11077,11077,0.04,432.17,2025-11-19,2025-11-19,0,4
PO-00832,2025-10-09,American & Efird,MAT_0093,216,216,5.85,1263.06,2025-11-10,2025-11-10,0,4
PO-01897,2025-10-09,Global Trim,MAT_0176,1059,1059,0.12,127.22,2025-11-13,2025-11-13,0,4
PO-01587,2025-10-09,Coats Group,MAT_0462,1193,1193,6.53,7790.99,2025-10-23,2025-10-24,1,4
PO-01169,2025-10-09,Shenzhen Minghui,MAT_0329,8513,8513,0.03,262.5,2025-11-21,2025-11-21,0,4
PO-01628,2025-10-09,Zecchetto Accessori,MAT_0056,742,742,0.95,707.28,2025-10-17,2025-10-20,3,4
PO-01081,2025-10-09,Henkel AG,MAT_0051,411,411,17.18,7060.71,2025-10-22,2025-10-23,1,3
PO-01567,2025-10-09,Crocs Inc (supplied),MAT_0122,1044,1044,7.83,8169.97,2025-11-06,2025-11-07,1,3
PO-01740,2025-10-09,Zhejiang Paper,MAT_0430,2553,2553,0.09,224.48,2025-11-14,2025-11-14,0,5
PO-00376,2025-10-09,Zecchetto Accessori,MAT_0429,2390,2390,0.76,1819.14,2025-10-20,2025-10-20,0,3
PO-01981,2025-10-10,Zecchetto Accessori,MAT_0483,4238,4238,1.03,4354.57,2025-10-17,2025-10-17,0,5
